"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 02:53:09 UTC 2023","Mon Dec 18 02:53:19 UTC 2023","10091","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Dec 18 02:32:16 UTC 2023","Mon Dec 18 02:33:19 UTC 2023","63377","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Dec 18 02:46:54 UTC 2023","Mon Dec 18 02:47:47 UTC 2023","53226","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Dec 18 03:23:10 UTC 2023","Mon Dec 18 03:23:10 UTC 2023","210","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Dec 18 02:50:42 UTC 2023","Mon Dec 18 02:51:01 UTC 2023","19599","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Dec 18 04:18:22 UTC 2023","Mon Dec 18 04:18:36 UTC 2023","13956","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Mon Dec 18 03:47:17 UTC 2023","Mon Dec 18 03:47:59 UTC 2023","42279","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Dec 18 03:23:07 UTC 2023","Mon Dec 18 03:23:10 UTC 2023","3081","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Dec 18 04:18:45 UTC 2023","Mon Dec 18 04:18:50 UTC 2023","4465","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Dec 18 02:28:53 UTC 2023","Mon Dec 18 02:29:18 UTC 2023","25010","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Dec 18 02:52:40 UTC 2023","Mon Dec 18 02:52:56 UTC 2023","16330","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Dec 18 02:37:55 UTC 2023","Mon Dec 18 02:37:55 UTC 2023","555","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Dec 18 04:50:38 UTC 2023","Mon Dec 18 04:50:41 UTC 2023","2983","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Dec 18 03:57:02 UTC 2023","Mon Dec 18 03:57:21 UTC 2023","18440","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Dec 18 03:19:41 UTC 2023","Mon Dec 18 03:19:54 UTC 2023","12892","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Dec 18 03:52:30 UTC 2023","Mon Dec 18 03:52:35 UTC 2023","4452","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon Dec 18 02:29:40 UTC 2023","Mon Dec 18 02:29:49 UTC 2023","9421","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Mon Dec 18 03:52:38 UTC 2023","Mon Dec 18 03:52:41 UTC 2023","3124","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Mon Dec 18 03:52:45 UTC 2023","Mon Dec 18 03:52:47 UTC 2023","2160","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Dec 18 02:53:19 UTC 2023","Mon Dec 18 02:53:22 UTC 2023","3155","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Dec 18 04:50:41 UTC 2023","Mon Dec 18 04:50:49 UTC 2023","7811","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Dec 18 02:41:44 UTC 2023","Mon Dec 18 02:41:56 UTC 2023","11971","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Dec 18 04:21:06 UTC 2023","Mon Dec 18 04:21:11 UTC 2023","5323","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Mon Dec 18 02:43:51 UTC 2023","Mon Dec 18 02:44:00 UTC 2023","8872","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Dec 18 02:45:48 UTC 2023","Mon Dec 18 02:46:44 UTC 2023","55951","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Dec 18 02:31:51 UTC 2023","Mon Dec 18 02:32:10 UTC 2023","19402","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Dec 18 02:53:05 UTC 2023","Mon Dec 18 02:53:09 UTC 2023","4047","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Dec 18 03:57:21 UTC 2023","Mon Dec 18 04:01:35 UTC 2023","254073","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Dec 18 02:37:44 UTC 2023","Mon Dec 18 02:37:45 UTC 2023","207","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Dec 18 04:07:44 UTC 2023","Mon Dec 18 04:08:03 UTC 2023","19736","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Dec 18 02:53:44 UTC 2023","Mon Dec 18 02:53:46 UTC 2023","1785","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
